,Model,Metric,Mean,95% CI Lower,95% CI Upper,CI Width
8,SARIMA,MAE,1.614,1.206,2.023,0.817
4,SegRNN (10 epochs),MAE,2.323,2.018,2.629,0.611
0,SegRNN (5 epochs),MAE,2.376,2.062,2.69,0.628
10,SARIMA,MASE,1.603,1.193,2.012,0.819
6,SegRNN (10 epochs),MASE,2.41,2.073,2.747,0.674
2,SegRNN (5 epochs),MASE,2.455,2.119,2.791,0.672
9,SARIMA,RMSE,1.821,1.365,2.277,0.911
5,SegRNN (10 epochs),RMSE,2.859,2.489,3.228,0.739
1,SegRNN (5 epochs),RMSE,2.927,2.547,3.307,0.76
11,SARIMA,WAPE (%),66.615,40.323,92.907,52.584
7,SegRNN (10 epochs),WAPE (%),8.136,6.412,9.859,3.447
3,SegRNN (5 epochs),WAPE (%),8.103,6.486,9.721,3.235
