Region,Model,MAE,RMSE,MASE,WAPE (%)
All regions avg,LSTM,3.4215092047055564,3.903707592942858,3.537159480957795,13.10822057723999
All regions avg,LSTM+Attention,4.93867846806844,5.3649982801777085,5.1272123471903,18.444009017944335
All regions avg,SARIMA,1.6142278268933055,1.8210375287649,1.602894486365416,66.61520400322654
All regions avg,segRNN,2.345065308411916,2.876338988256485,2.438465007685299,8.174762153625489
Barents Sea,LSTM,2.223921318848928,2.6034060403064214,3.305786294124385,23.17323112487793
Barents Sea,LSTM+Attention,2.791372327009837,3.0815180000686144,4.146839570191103,33.43562698364258
Barents Sea,SARIMA,0.47473212230064465,0.5312920516472155,0.7460834342373086,32.44534649235478
Barents Sea,segRNN,1.7017064452171327,2.036142323663798,2.5294738659153277,15.711973190307617
Chukchi Sea,LSTM,3.0822238008181255,3.5204820326393897,3.120850161473254,7.550424098968506
Chukchi Sea,LSTM+Attention,4.0638859113057455,4.4375527074571,4.115999759366571,10.42558765411377
Chukchi Sea,SARIMA,0.9869511829268193,1.09515248069956,0.9766390369467823,101.47912680743586
Chukchi Sea,segRNN,2.443794830640157,2.9839055276311295,2.4725838011889025,7.508334159851074
East Siberian Sea,LSTM,4.1670602281888325,4.7099198701018405,4.680398396482599,8.147806167602539
East Siberian Sea,LSTM+Attention,7.473508381843567,7.9168208389579116,8.39722484137331,13.727530479431152
East Siberian Sea,SARIMA,2.8293774378785845,3.1909849604404106,3.146042643306444,127.95106882655877
East Siberian Sea,segRNN,2.506256639957428,3.1139492312677843,2.8135883412150338,4.867305278778076
Kara Sea,LSTM,3.6057877063751222,4.025306402020598,2.9298429358420575,7.010210037231445
Kara Sea,LSTM+Attention,4.448808685938517,4.906784996391293,3.6156429559078704,8.989025115966797
Kara Sea,SARIMA,1.7058708080282325,1.9371234226972496,1.3517167331476034,34.2567927932965
Kara Sea,segRNN,2.3507214506467182,2.8823319803980447,1.9087673683063557,4.1304497718811035
Laptev Sea,LSTM,4.028552969296773,4.659423619646041,3.648919616866679,19.65943145751953
Laptev Sea,LSTM+Attention,5.9158170342445375,6.482314858013624,5.360354609112648,25.642274856567383
Laptev Sea,SARIMA,2.074207583332245,2.350634728340064,1.7939905841889427,36.943685096486774
Laptev Sea,segRNN,2.7228471755981447,3.36536587832167,2.4679116618008745,8.65574836730957
